f,imp,feature_name
f480,300.0,log_feature_cat_39
f481,2656.0,log_feature_cat_40
f482,316.0,log_feature_cat_41
f483,33.0,log_feature_cat_42
f484,179.0,log_feature_cat_43
f485,299.0,log_feature_cat_44
f486,281.0,log_feature_cat_45
f487,885.0,log_feature_cat_46
f488,102.0,log_feature_cat_47
f489,2.0,log_feature_cat_48
f490,,log_feature_cat_49
f491,,log_feature_cat_50
f492,,log_feature_cat_51
f493,,log_feature_cat_52
f494,,log_feature_cat_53
f495,186.0,log_feature_cat_54
f496,12.0,log_feature_cat_55
f497,337.0,log_feature_cat_56
f498,59.0,log_feature_cat_57
f499,493.0,log_feature_cat_58
f500,,log_feature_cat_59
f501,187.0,log_feature_cat_60
f502,590.0,log_feature_cat_61
f503,1060.0,log_feature_cat_62
f504,218.0,log_feature_cat_63
f505,,log_feature_cat_64
f506,,log_feature_cat_65
f507,,log_feature_cat_66
f508,,log_feature_cat_67
f509,,log_feature_cat_68
f510,76.0,log_feature_cat_69
f511,2.0,log_feature_cat_70
f512,,log_feature_cat_71
f513,62.0,log_feature_cat_72
f514,382.0,log_feature_cat_73
f515,19.0,log_feature_cat_74
f516,211.0,log_feature_cat_75
f517,,log_feature_cat_76
f518,,log_feature_cat_77
f519,715.0,resource_type_count
f520,7600.0,id_y.2
f521,,value
f522,,1
f523,,resource_type_ 1
f524,17.0,resource_type_ 10
f525,1265.0,resource_type_ 2
f526,31.0,resource_type_ 3
f527,32.0,resource_type_ 4
f528,,resource_type_ 5
f529,109.0,resource_type_ 6
f530,49.0,resource_type_ 7
f531,1419.0,resource_type_ 8
f532,34.0,resource_type_ 9
f533,11870.0,id_y.3
f534,1075.0,severity_type_ 1
f535,1122.0,severity_type_ 2
f536,,severity_type_ 3
f537,120.0,severity_type_ 4
f538,,severity_type_ 5
f539,8354.0,location_cat
f540,7060.0,location_cat2
f541,7439.0,location_rank_asc
f542,7524.0,location_rank_desc
f543,8531.0,location_rank_rel
